year,value,Upper confidence interval,Lower confidence interval,metric,timeseries,Coastwide,Columbia River North to Canadian border,Newport Line North to Canadian border,Cape Mendocino North to Canadian border,Cape Mendocino South to Mexican border,Point Reyes South to Mexican border,Point Conception South to Mexican border,
1994,-1.561818378,NA,NA,Normalized index,Inorganic pollution,1,1,1,1,1,1,1,
1995,-0.021818257,NA,NA,Normalized index,Inorganic pollution,1,1,1,1,1,1,1,
1996,1.03449077,NA,NA,Normalized index,Inorganic pollution,1,1,1,1,1,1,1,
1997,1.922160832,NA,NA,Normalized index,Inorganic pollution,1,1,1,1,1,1,1,
1998,0.188025425,NA,NA,Normalized index,Inorganic pollution,1,1,1,1,1,1,1,
1999,-0.150772576,NA,NA,Normalized index,Inorganic pollution,1,1,1,1,1,1,1,
2000,1.286887256,NA,NA,Normalized index,Inorganic pollution,1,1,1,1,1,1,1,
2001,-1.34066143,NA,NA,Normalized index,Inorganic pollution,1,1,1,1,1,1,1,
2002,-2.569387555,NA,NA,Normalized index,Inorganic pollution,1,1,1,1,1,1,1,
2003,-0.821935601,NA,NA,Normalized index,Inorganic pollution,1,1,1,1,1,1,1,
2004,0.116268046,NA,NA,Normalized index,Inorganic pollution,1,1,1,1,1,1,1,
2005,0.345394176,NA,NA,Normalized index,Inorganic pollution,1,1,1,1,1,1,1,
2006,0.073939175,NA,NA,Normalized index,Inorganic pollution,1,1,1,1,1,1,1,
2007,1.043815363,NA,NA,Normalized index,Inorganic pollution,1,1,1,1,1,1,1,
2008,0.788783916,NA,NA,Normalized index,Inorganic pollution,1,1,1,1,1,1,1,
2009,-0.132558631,NA,NA,Normalized index,Inorganic pollution,1,1,1,1,1,1,1,
2010,0.842225418,NA,NA,Normalized index,Inorganic pollution,1,1,1,1,1,1,1,
2011,0.70339394,NA,NA,Normalized index,Inorganic pollution,1,1,1,1,1,1,1,
2012,-0.373416921,NA,NA,Normalized index,Inorganic pollution,1,1,1,1,1,1,1,
1993,638.6662216,NA,NA,Metric tons of cargo (millions),Invasive species,1,1,0,0,0,0,0,
1994,628.6817464,NA,NA,Metric tons of cargo (millions),Invasive species,1,1,0,0,0,0,0,
1995,654.6698676,NA,NA,Metric tons of cargo (millions),Invasive species,1,1,0,0,0,0,0,
1996,622.4430369,NA,NA,Metric tons of cargo (millions),Invasive species,1,1,0,0,0,0,0,
1997,588.6377048,NA,NA,Metric tons of cargo (millions),Invasive species,1,1,0,0,0,0,0,
1998,553.7600803,NA,NA,Metric tons of cargo (millions),Invasive species,1,1,0,0,0,0,0,
1999,569.6240198,NA,NA,Metric tons of cargo (millions),Invasive species,1,1,0,0,0,0,0,
2000,604.9978744,NA,NA,Metric tons of cargo (millions),Invasive species,1,1,0,0,0,0,0,
2001,586.7208234,NA,NA,Metric tons of cargo (millions),Invasive species,1,1,0,0,0,0,0,
2002,568.2124403,NA,NA,Metric tons of cargo (millions),Invasive species,1,1,0,0,0,0,0,
2003,587.8711337,NA,NA,Metric tons of cargo (millions),Invasive species,1,1,0,0,0,0,0,
2004,644.9457544,NA,NA,Metric tons of cargo (millions),Invasive species,1,1,0,0,0,0,0,
2005,658.3947682,NA,NA,Metric tons of cargo (millions),Invasive species,1,1,0,0,0,0,0,
2006,689.2880373,NA,NA,Metric tons of cargo (millions),Invasive species,1,1,0,0,0,0,0,
2007,698.213828,NA,NA,Metric tons of cargo (millions),Invasive species,1,1,0,0,0,0,0,
2008,664.5345945,NA,NA,Metric tons of cargo (millions),Invasive species,1,1,0,0,0,0,0,
2009,591.5434175,NA,NA,Metric tons of cargo (millions),Invasive species,1,1,0,0,0,0,0,
2010,626.3439313,NA,NA,Metric tons of cargo (millions),Invasive species,1,1,0,0,0,0,0,
2011,651.0202634,NA,NA,Metric tons of cargo (millions),Invasive species,1,1,0,0,0,0,0,
1994,1.165100426,NA,NA,Normalized index,Light pollution,1,0,0,0,0,0,0,
1995,2.049427018,NA,NA,Normalized index,Light pollution,1,0,0,0,0,0,0,
1996,1.529180757,NA,NA,Normalized index,Light pollution,1,0,0,0,0,0,0,
1997,1.333985405,NA,NA,Normalized index,Light pollution,1,0,0,0,0,0,0,
1998,0.888975727,NA,NA,Normalized index,Light pollution,1,0,0,0,0,0,0,
1999,-0.040023559,NA,NA,Normalized index,Light pollution,1,0,0,0,0,0,0,
2000,0.259917301,NA,NA,Normalized index,Light pollution,1,0,0,0,0,0,0,
2001,-0.629135563,NA,NA,Normalized index,Light pollution,1,0,0,0,0,0,0,
2002,-0.389750881,NA,NA,Normalized index,Light pollution,1,0,0,0,0,0,0,
2003,-0.600266557,NA,NA,Normalized index,Light pollution,1,0,0,0,0,0,0,
2004,-0.903251111,NA,NA,Normalized index,Light pollution,1,0,0,0,0,0,0,
2005,-0.976808357,NA,NA,Normalized index,Light pollution,1,0,0,0,0,0,0,
2006,-0.813178732,NA,NA,Normalized index,Light pollution,1,0,0,0,0,0,0,
2007,-0.700743456,NA,NA,Normalized index,Light pollution,1,0,0,0,0,0,0,
2008,-0.853618667,NA,NA,Normalized index,Light pollution,1,0,0,0,0,0,0,
2009,-0.527479088,NA,NA,Normalized index,Light pollution,1,0,0,0,0,0,0,
2010,-0.792330662,NA,NA,Normalized index,Light pollution,1,0,0,0,0,0,0,
1999,16.43,NA,NA,Predicted counts of debris,Marine debris (north),0,0,0,1,0,0,0,
2000,11.1,NA,NA,Predicted counts of debris,Marine debris (north),0,0,0,1,0,0,0,
2001,9.94,NA,NA,Predicted counts of debris,Marine debris (north),0,0,0,1,0,0,0,
2002,9.91,NA,NA,Predicted counts of debris,Marine debris (north),0,0,0,1,0,0,0,
2003,10.25,NA,NA,Predicted counts of debris,Marine debris (north),0,0,0,1,0,0,0,
2004,11.57,NA,NA,Predicted counts of debris,Marine debris (north),0,0,0,1,0,0,0,
2005,12.32,NA,NA,Predicted counts of debris,Marine debris (north),0,0,0,1,0,0,0,
2006,12.32,NA,NA,Predicted counts of debris,Marine debris (north),0,0,0,1,0,0,0,
2007,12.85,NA,NA,Predicted counts of debris,Marine debris (north),0,0,0,1,0,0,0,
1999,6.96,NA,NA,Predicted counts of debris,Marine debris (south),0,0,0,0,1,0,0,
2000,7.15,NA,NA,Predicted counts of debris,Marine debris (south),0,0,0,0,1,0,0,
2001,9.75,NA,NA,Predicted counts of debris,Marine debris (south),0,0,0,0,1,0,0,
2002,5.23,NA,NA,Predicted counts of debris,Marine debris (south),0,0,0,0,1,0,0,
2003,4.9,NA,NA,Predicted counts of debris,Marine debris (south),0,0,0,0,1,0,0,
2004,4.33,NA,NA,Predicted counts of debris,Marine debris (south),0,0,0,0,1,0,0,
2005,3.89,NA,NA,Predicted counts of debris,Marine debris (south),0,0,0,0,1,0,0,
2006,3.96,NA,NA,Predicted counts of debris,Marine debris (south),0,0,0,0,1,0,0,
2007,3.29,NA,NA,Predicted counts of debris,Marine debris (south),0,0,0,0,1,0,0,
1945,-1.833480109,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
1946,-1.765313665,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
1947,-1.687015859,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
1948,-1.6089383,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
1949,-1.584160456,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
1950,-1.568242199,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
1951,-1.493077387,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
1952,-1.428643288,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
1953,-1.387384773,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
1954,-1.365618116,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
1955,-1.345675709,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
1956,-1.358374248,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
1957,-1.318045455,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
1958,-1.293745043,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
1959,-1.15631258,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
1960,-1.13926772,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
1961,-1.09282166,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
1962,-0.98874299,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
1963,-0.830583716,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
1964,-0.663759962,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
1965,-0.582379444,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
1966,-0.368081469,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
1967,-0.118837351,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
1968,0.025189347,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
1969,0.12032345,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
1970,0.130501196,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
1971,0.298082469,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
1972,0.306281201,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
1973,0.420907162,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
1974,0.521421679,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
1975,0.236386679,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
1976,0.707464413,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
1977,0.889547344,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
1978,0.605357084,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
1979,0.88804175,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
1980,0.872229606,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
1981,0.93985654,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
1982,0.621858423,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
1983,0.159920827,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
1984,0.672821263,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
1985,0.596626053,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
1986,0.349828935,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
1987,0.115715178,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
1988,0.293275926,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
1989,0.315087584,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
1990,0.438401528,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
1991,0.222523222,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
1992,0.270871371,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
1993,0.386556615,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
1994,0.555492021,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
1995,0.757041122,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
1996,1.080803582,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
1997,0.726294921,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
1998,0.621563015,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
1999,0.513736658,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
2000,0.627450754,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
2001,0.704495255,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
2002,1.440731724,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
2003,1.306629325,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
2004,1.819080745,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
2005,1.400373673,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
2006,1.650560536,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
2007,1.387507551,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
2008,1.260177516,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
2009,0.161448816,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
2010,0.560037439,NA,NA,Normalized sum of N & P,Nutrient input,1,1,1,1,1,1,1,
2001,-0.953041006,NA,NA,Normalized index,Ocean-based pollution,1,1,0,0,0,0,0,
2002,-0.846984436,NA,NA,Normalized index,Ocean-based pollution,1,1,0,0,0,0,0,
2003,-0.516673621,NA,NA,Normalized index,Ocean-based pollution,1,1,0,0,0,0,0,
2004,0.432490797,NA,NA,Normalized index,Ocean-based pollution,1,1,0,0,0,0,0,
2005,0.665520238,NA,NA,Normalized index,Ocean-based pollution,1,1,0,0,0,0,0,
2006,1.549091447,NA,NA,Normalized index,Ocean-based pollution,1,1,0,0,0,0,0,
2007,1.459923445,NA,NA,Normalized index,Ocean-based pollution,1,1,0,0,0,0,0,
2008,0.630210662,NA,NA,Normalized index,Ocean-based pollution,1,1,0,0,0,0,0,
2009,-1.319895843,NA,NA,Normalized index,Ocean-based pollution,1,1,0,0,0,0,0,
2010,-0.867618614,NA,NA,Normalized index,Ocean-based pollution,1,1,0,0,0,0,0,
2011,-0.233023069,NA,NA,Normalized index,Ocean-based pollution,1,1,0,0,0,0,0,
1974,0.017340883,NA,NA,Oil & gas production,Offshore oil and gas activity,0,0,0,0,0,0,1,
1975,-0.274801316,NA,NA,Oil & gas production,Offshore oil and gas activity,0,0,0,0,0,0,1,
1976,-0.583433973,NA,NA,Oil & gas production,Offshore oil and gas activity,0,0,0,0,0,0,1,
1977,-1.246627262,NA,NA,Oil & gas production,Offshore oil and gas activity,0,0,0,0,0,0,1,
1978,-1.322540623,NA,NA,Oil & gas production,Offshore oil and gas activity,0,0,0,0,0,0,1,
1979,-1.402277418,NA,NA,Oil & gas production,Offshore oil and gas activity,0,0,0,0,0,0,1,
1980,-1.538766583,NA,NA,Oil & gas production,Offshore oil and gas activity,0,0,0,0,0,0,1,
1981,-0.956589301,NA,NA,Oil & gas production,Offshore oil and gas activity,0,0,0,0,0,0,1,
1982,-0.397915725,NA,NA,Oil & gas production,Offshore oil and gas activity,0,0,0,0,0,0,1,
1983,-0.180322182,NA,NA,Oil & gas production,Offshore oil and gas activity,0,0,0,0,0,0,1,
1984,0.672355625,NA,NA,Oil & gas production,Offshore oil and gas activity,0,0,0,0,0,0,1,
1985,1.479966819,NA,NA,Oil & gas production,Offshore oil and gas activity,0,0,0,0,0,0,1,
1986,1.017714522,NA,NA,Oil & gas production,Offshore oil and gas activity,0,0,0,0,0,0,1,
1987,0.602690426,NA,NA,Oil & gas production,Offshore oil and gas activity,0,0,0,0,0,0,1,
1988,0.268223899,NA,NA,Oil & gas production,Offshore oil and gas activity,0,0,0,0,0,0,1,
1989,1.210425422,NA,NA,Oil & gas production,Offshore oil and gas activity,0,0,0,0,0,0,1,
1990,-0.059261457,NA,NA,Oil & gas production,Offshore oil and gas activity,0,0,0,0,0,0,1,
1991,0.046848356,NA,NA,Oil & gas production,Offshore oil and gas activity,0,0,0,0,0,0,1,
1992,0.540958008,NA,NA,Oil & gas production,Offshore oil and gas activity,0,0,0,0,0,0,1,
1993,0.676284202,NA,NA,Oil & gas production,Offshore oil and gas activity,0,0,0,0,0,0,1,
1994,1.038045352,NA,NA,Oil & gas production,Offshore oil and gas activity,0,0,0,0,0,0,1,
1995,1.571206616,NA,NA,Oil & gas production,Offshore oil and gas activity,0,0,0,0,0,0,1,
1996,1.696380325,NA,NA,Oil & gas production,Offshore oil and gas activity,0,0,0,0,0,0,1,
1997,1.637450407,NA,NA,Oil & gas production,Offshore oil and gas activity,0,0,0,0,0,0,1,
1998,1.336167689,NA,NA,Oil & gas production,Offshore oil and gas activity,0,0,0,0,0,0,1,
1999,1.036061748,NA,NA,Oil & gas production,Offshore oil and gas activity,0,0,0,0,0,0,1,
2000,0.887187483,NA,NA,Oil & gas production,Offshore oil and gas activity,0,0,0,0,0,0,1,
2001,0.524839622,NA,NA,Oil & gas production,Offshore oil and gas activity,0,0,0,0,0,0,1,
2002,0.335654611,NA,NA,Oil & gas production,Offshore oil and gas activity,0,0,0,0,0,0,1,
2003,-0.122870525,NA,NA,Oil & gas production,Offshore oil and gas activity,0,0,0,0,0,0,1,
2004,-0.340360554,NA,NA,Oil & gas production,Offshore oil and gas activity,0,0,0,0,0,0,1,
2005,-0.425187929,NA,NA,Oil & gas production,Offshore oil and gas activity,0,0,0,0,0,0,1,
2006,-0.922092971,NA,NA,Oil & gas production,Offshore oil and gas activity,0,0,0,0,0,0,1,
2007,-0.801469995,NA,NA,Oil & gas production,Offshore oil and gas activity,0,0,0,0,0,0,1,
2008,-0.882484297,NA,NA,Oil & gas production,Offshore oil and gas activity,0,0,0,0,0,0,1,
2009,-1.144685256,NA,NA,Oil & gas production,Offshore oil and gas activity,0,0,0,0,0,0,1,
2010,-1.199195102,NA,NA,Oil & gas production,Offshore oil and gas activity,0,0,0,0,0,0,1,
2011,-1.142576816,NA,NA,Oil & gas production,Offshore oil and gas activity,0,0,0,0,0,0,1,
2012,-1.65234273,NA,NA,Oil & gas production,Offshore oil and gas activity,0,0,0,0,0,0,1,
1992,0.097698644,NA,NA,Toxicity-weighted index,Organic pollution,1,1,0,0,0,0,0,
1993,0.084492936,NA,NA,Toxicity-weighted index,Organic pollution,1,1,0,0,0,0,0,
1994,0.095453577,NA,NA,Toxicity-weighted index,Organic pollution,1,1,0,0,0,0,0,
1995,0.081054475,NA,NA,Toxicity-weighted index,Organic pollution,1,1,0,0,0,0,0,
1996,0.058525532,NA,NA,Toxicity-weighted index,Organic pollution,1,1,0,0,0,0,0,
1997,0.061929506,NA,NA,Toxicity-weighted index,Organic pollution,1,1,0,0,0,0,0,
1998,0.067050386,NA,NA,Toxicity-weighted index,Organic pollution,1,1,0,0,0,0,0,
1999,0.054167558,NA,NA,Toxicity-weighted index,Organic pollution,1,1,0,0,0,0,0,
2000,0.051133153,NA,NA,Toxicity-weighted index,Organic pollution,1,1,0,0,0,0,0,
2001,0.049726887,NA,NA,Toxicity-weighted index,Organic pollution,1,1,0,0,0,0,0,
2002,0.053791011,NA,NA,Toxicity-weighted index,Organic pollution,1,1,0,0,0,0,0,
2003,0.055596719,NA,NA,Toxicity-weighted index,Organic pollution,1,1,0,0,0,0,0,
2004,0.075132818,NA,NA,Toxicity-weighted index,Organic pollution,1,1,0,0,0,0,0,
2005,0.059295456,NA,NA,Toxicity-weighted index,Organic pollution,1,1,0,0,0,0,0,
2006,0.099743135,NA,NA,Toxicity-weighted index,Organic pollution,1,1,0,0,0,0,0,
2007,0.049523718,NA,NA,Toxicity-weighted index,Organic pollution,1,1,0,0,0,0,0,
2008,0.052384712,NA,NA,Toxicity-weighted index,Organic pollution,1,1,0,0,0,0,0,
2009,0.060794618,NA,NA,Toxicity-weighted index,Organic pollution,1,1,0,0,0,0,0,
2010,0.048054338,NA,NA,Toxicity-weighted index,Organic pollution,1,1,0,0,0,0,0,
1955,21.10745609,NA,NA,Millions of cubic meters,Power plants,0,0,0,0,0,0,1,
1960,34.20876626,NA,NA,Millions of cubic meters,Power plants,0,0,0,0,0,0,1,
1965,41.50704017,NA,NA,Millions of cubic meters,Power plants,0,0,0,0,0,0,1,
1970,36.81691497,NA,NA,Millions of cubic meters,Power plants,0,0,0,0,0,0,1,
1975,40.56371555,NA,NA,Millions of cubic meters,Power plants,0,0,0,0,0,0,1,
1980,42.46550643,NA,NA,Millions of cubic meters,Power plants,0,0,0,0,0,0,1,
1985,47.76697563,NA,NA,Millions of cubic meters,Power plants,0,0,0,0,0,0,1,
1990,45.42721261,NA,NA,Millions of cubic meters,Power plants,0,0,0,0,0,0,1,
1995,37.93020458,NA,NA,Millions of cubic meters,Power plants,0,0,0,0,0,0,1,
2000,51.02659371,NA,NA,Millions of cubic meters,Power plants,0,0,0,0,0,0,1,
2001,50.74888833,NA,NA,Millions of cubic meters,Power plants,0,0,0,0,0,0,1,
2002,50.47118295,NA,NA,Millions of cubic meters,Power plants,0,0,0,0,0,0,1,
2003,50.19347758,NA,NA,Millions of cubic meters,Power plants,0,0,0,0,0,0,1,
2004,49.9157722,NA,NA,Millions of cubic meters,Power plants,0,0,0,0,0,0,1,
2005,49.63806682,NA,NA,Millions of cubic meters,Power plants,0,0,0,0,0,0,1,
2002,-0.235712254,NA,NA,Index of beach attendance,Recreational beach use,1,1,0,0,0,0,0,
2003,-0.784218435,NA,NA,Index of beach attendance,Recreational beach use,1,1,0,0,0,0,0,
2004,0.12627568,NA,NA,Index of beach attendance,Recreational beach use,1,1,0,0,0,0,0,
2005,-0.116913444,NA,NA,Index of beach attendance,Recreational beach use,1,1,0,0,0,0,0,
2006,0.559293504,NA,NA,Index of beach attendance,Recreational beach use,1,1,0,0,0,0,0,
2007,1.125142169,NA,NA,Index of beach attendance,Recreational beach use,1,1,0,0,0,0,0,
2008,0.706425481,NA,NA,Index of beach attendance,Recreational beach use,1,1,0,0,0,0,0,
2009,0.888226901,NA,NA,Index of beach attendance,Recreational beach use,1,1,0,0,0,0,0,
2010,0.061565892,NA,NA,Index of beach attendance,Recreational beach use,1,1,0,0,0,0,0,
2011,-2.330085494,NA,NA,Index of beach attendance,Recreational beach use,1,1,0,0,0,0,0,
2012,-0.90342223,NA,NA,Index of beach attendance,Recreational beach use,1,1,0,0,0,0,0,
1962,10.41,NA,NA,Billions of pounds,Seafood demand,1,0,0,0,0,0,0,
1963,11.43,NA,NA,Billions of pounds,Seafood demand,1,0,0,0,0,0,0,
1964,12.03,NA,NA,Billions of pounds,Seafood demand,1,0,0,0,0,0,0,
1965,10.53,NA,NA,Billions of pounds,Seafood demand,1,0,0,0,0,0,0,
1966,12.46,NA,NA,Billions of pounds,Seafood demand,1,0,0,0,0,0,0,
1967,13.99,NA,NA,Billions of pounds,Seafood demand,1,0,0,0,0,0,0,
1968,17.38,NA,NA,Billions of pounds,Seafood demand,1,0,0,0,0,0,0,
1969,11.84,NA,NA,Billions of pounds,Seafood demand,1,0,0,0,0,0,0,
1970,11.47,NA,NA,Billions of pounds,Seafood demand,1,0,0,0,0,0,0,
1971,11.8,NA,NA,Billions of pounds,Seafood demand,1,0,0,0,0,0,0,
1972,13.85,NA,NA,Billions of pounds,Seafood demand,1,0,0,0,0,0,0,
1973,10.38,NA,NA,Billions of pounds,Seafood demand,1,0,0,0,0,0,0,
1974,9.88,NA,NA,Billions of pounds,Seafood demand,1,0,0,0,0,0,0,
1975,10.17,NA,NA,Billions of pounds,Seafood demand,1,0,0,0,0,0,0,
1976,11.6,NA,NA,Billions of pounds,Seafood demand,1,0,0,0,0,0,0,
1977,10.64,NA,NA,Billions of pounds,Seafood demand,1,0,0,0,0,0,0,
1978,11.51,NA,NA,Billions of pounds,Seafood demand,1,0,0,0,0,0,0,
1979,11.84,NA,NA,Billions of pounds,Seafood demand,1,0,0,0,0,0,0,
1980,11.36,NA,NA,Billions of pounds,Seafood demand,1,0,0,0,0,0,0,
1981,11.36,NA,NA,Billions of pounds,Seafood demand,1,0,0,0,0,0,0,
1982,12,NA,NA,Billions of pounds,Seafood demand,1,0,0,0,0,0,0,
1983,12.35,NA,NA,Billions of pounds,Seafood demand,1,0,0,0,0,0,0,
1984,12.55,NA,NA,Billions of pounds,Seafood demand,1,0,0,0,0,0,0,
1985,15.14,NA,NA,Billions of pounds,Seafood demand,1,0,0,0,0,0,0,
1986,14.37,NA,NA,Billions of pounds,Seafood demand,1,0,0,0,0,0,0,
1987,15.73,NA,NA,Billions of pounds,Seafood demand,1,0,0,0,0,0,0,
1988,14.63,NA,NA,Billions of pounds,Seafood demand,1,0,0,0,0,0,0,
1989,15.48,NA,NA,Billions of pounds,Seafood demand,1,0,0,0,0,0,0,
1990,16.34,NA,NA,Billions of pounds,Seafood demand,1,0,0,0,0,0,0,
1991,16.37,NA,NA,Billions of pounds,Seafood demand,1,0,0,0,0,0,0,
1992,16.1,NA,NA,Billions of pounds,Seafood demand,1,0,0,0,0,0,0,
1993,20.35,NA,NA,Billions of pounds,Seafood demand,1,0,0,0,0,0,0,
1994,19.32,NA,NA,Billions of pounds,Seafood demand,1,0,0,0,0,0,0,
1995,16.49,NA,NA,Billions of pounds,Seafood demand,1,0,0,0,0,0,0,
1996,16.48,NA,NA,Billions of pounds,Seafood demand,1,0,0,0,0,0,0,
1997,17.14,NA,NA,Billions of pounds,Seafood demand,1,0,0,0,0,0,0,
1998,16.91,NA,NA,Billions of pounds,Seafood demand,1,0,0,0,0,0,0,
1999,17.38,NA,NA,Billions of pounds,Seafood demand,1,0,0,0,0,0,0,
2000,17.33,NA,NA,Billions of pounds,Seafood demand,1,0,0,0,0,0,0,
2001,18.13,NA,NA,Billions of pounds,Seafood demand,1,0,0,0,0,0,0,
2002,19.03,NA,NA,Billions of pounds,Seafood demand,1,0,0,0,0,0,0,
2003,19.85,NA,NA,Billions of pounds,Seafood demand,1,0,0,0,0,0,0,
2004,20.37,NA,NA,Billions of pounds,Seafood demand,1,0,0,0,0,0,0,
2005,20.52,NA,NA,Billions of pounds,Seafood demand,1,0,0,0,0,0,0,
2006,20.96,NA,NA,Billions of pounds,Seafood demand,1,0,0,0,0,0,0,
2007,20.51,NA,NA,Billions of pounds,Seafood demand,1,0,0,0,0,0,0,
2008,19.24,NA,NA,Billions of pounds,Seafood demand,1,0,0,0,0,0,0,
2009,18.91,NA,NA,Billions of pounds,Seafood demand,1,0,0,0,0,0,0,
2010,19.72,NA,NA,Billions of pounds,Seafood demand,1,0,0,0,0,0,0,
2011,21.1224,NA,NA,Billions of pounds,Seafood demand,1,0,0,0,0,0,0,
2012,20.77523,NA,NA,Billions of pounds,Seafood demand,1,0,0,0,0,0,0,
1900,9.125299,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1901,9.289352,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1902,14.223279,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1903,14.257817,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1904,106.847897,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1905,110.844378,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1906,228.480308,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1907,228.852819,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1908,509.167734,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1909,509.403329,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1910,599.853319,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
1911,1117.749171,NA,NA,Millions of cubic meters,Sediment retention,1,0,0,0,0,0,0,
